date,symbol,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume
,,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS
2025-01-01,RELIANCE.NS,1210.0172807004092,1221.4218053468785,1206.7802092584152,1216.391845703125,5892590.0,,,,,,,,,,,,,,,,,,,,
2025-01-02,RELIANCE.NS,1216.3918076943417,1239.4994683243335,1215.1467802555553,1236.860107421875,15486276.0,,,,,,,,,,,,,,,,,,,,
2025-01-03,RELIANCE.NS,1238.9518139936486,1257.0296379589822,1230.5852047154665,1246.1729736328125,15521102.0,,,,,,,,,,,,,,,,,,,,
2025-01-06,RELIANCE.NS,1248.961727102304,1256.9797527645217,1210.1667191829588,1213.15478515625,14816766.0,,,,,,,,,,,,,,,,,,,,
2025-01-07,RELIANCE.NS,1217.1388288273843,1239.5493228115217,1216.3918123612464,1235.913818359375,10070505.0,,,,,,,,,,,,,,,,,,,,
2025-01-08,RELIANCE.NS,1244.0314575822304,1265.9937909556584,1240.395953024955,1260.4658203125,19346579.0,,,,,,,,,,,,,,,,,,,,
2025-01-09,RELIANCE.NS,1261.9598138402198,1264.6988742096441,1243.0852464738894,1249.758544921875,12794704.0,,,,,,,,,,,,,,,,,,,,
2025-01-10,RELIANCE.NS,1248.8621307808614,1251.750618829338,1231.0831628192257,1236.959716796875,8120332.0,,,,,,,,,,,,,,,,,,,,
2025-01-13,RELIANCE.NS,1225.1070543419412,1240.2963897717905,1221.5213994754447,1234.9178466796875,13764861.0,,,,,,,,,,,,,,,,,,,,
2025-01-14,RELIANCE.NS,1239.1509590647415,1248.3641626627486,1222.3680125031533,1233.822265625,13095266.0,,,,,,,,,,,,,,,,,,,,
2025-01-15,RELIANCE.NS,1239.9974688456068,1251.9995818882041,1236.90982514039,1247.2186279296875,9578856.0,,,,,,,,,,,,,,,,,,,,
2025-01-16,RELIANCE.NS,1253.8920943102864,1269.9280238633037,1246.3223515830243,1261.4119873046875,14117603.0,,,,,,,,,,,,,,,,,,,,
2025-01-17,RELIANCE.NS,1316.9900509904955,1320.7251333812799,1279.888232575373,1297.169189453125,29366277.0,,,,,,,,,,,,,,,,,,,,
2025-01-20,RELIANCE.NS,1310.764916385877,1310.764916385877,1295.0775703121099,1300.2568359375,14040244.0,,,,,,,,,,,,,,,,,,,,
2025-01-21,RELIANCE.NS,1305.2868371165837,1307.776892128252,1265.1471016946018,1268.6331787109375,14562976.0,,,,,,,,,,,,,,,,,,,,
2025-01-22,RELIANCE.NS,1273.2149526536994,1277.7966294698952,1263.6530443254642,1272.0196533203125,10273590.0,,,,,,,,,,,,,,,,,,,,
2025-01-23,RELIANCE.NS,1264.9478840486133,1272.2686211078578,1256.581275301743,1258.6231689453125,8720682.0,,,,,,,,,,,,,,,,,,,,
2025-01-24,RELIANCE.NS,1260.9638702056575,1267.9360243063209,1238.5533748820974,1241.34228515625,14235970.0,,,,,,,,,,,,,,,,,,,,
2025-01-27,RELIANCE.NS,1234.1708090151494,1235.515414368934,1215.1468135462453,1224.4595947265625,9536019.0,,,,,,,,,,,,,,,,,,,,
2025-01-28,RELIANCE.NS,1233.0752790316255,1239.7984277662488,1213.6528493538253,1229.4896240234375,10568025.0,,,,,,,,,,,,,,,,,,,,
2025-01-29,RELIANCE.NS,1231.0832160878692,1237.8063647194172,1223.1648896668228,1230.585205078125,5928156.0,,,,,,,,,,,,,,,,,,,,
2025-01-30,RELIANCE.NS,1230.635044492625,1251.9996679975989,1227.497550840604,1248.0654296875,9269259.0,,,,,,,,,,,,,,,,,,,,
