date,open,open,open,open,open,high,high,high,high,high,low,low,low,low,low,close,close,close,close,close,volume,volume,volume,volume,volume
,HDFCBANK.NS,ICICIBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS,HDFCBANK.NS,ICICIBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS,HDFCBANK.NS,ICICIBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS,HDFCBANK.NS,ICICIBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS,HDFCBANK.NS,ICICIBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS
2025-01-21,818.0672195171876,1227.4786100806577,1766.7638099629812,1305.2868371165837,4030.4586234318854,819.4485722440602,1229.4632960558952,1779.0016155615642,1307.776892128252,4045.909995207746,805.6352858599316,1183.567432878532,1741.5111463055791,1265.1471016946018,3966.192478882806,810.2479248046875,1186.9910888671875,1748.941162109375,1268.6331787109375,3971.949951171875,31158144,20520898,7169109,14562976,1971591
2025-01-22,810.2479165643738,1191.8038937223043,1755.448693830049,1273.2149526536994,3985.8758020500386,824.8012002853578,1198.2541229556057,1812.1700865447272,1277.7966294698952,4097.2341866812185,801.8859089377631,1182.6743869540314,1753.2633671133483,1263.6530443254642,3980.1675861797344,821.9152221679688,1191.258056640625,1803.0887451171875,1272.0196533203125,4090.7880859375,30619306,10377123,8373913,10273590,2409223
2025-01-23,832.2505181334424,1188.0826742078204,1804.5941442893445,1264.9478840486133,4102.007467712743,832.2505181334424,1198.6511515402387,1825.5247642701754,1272.2686211078578,4124.987859977081,814.6139111249832,1176.9188152937772,1799.446438649042,1256.581275301743,4074.499811787622,821.347900390625,1192.5482177734375,1811.8299560546875,1258.6231689453125,4079.814697265625,34909158,8770650,5907471,8720682,1822998
2025-01-24,818.9305795964561,1193.8878937592276,1811.8786496612856,1260.9638702056575,4039.0213862561122,824.0119199318104,1208.6738293636251,1840.4336089404926,1267.9360243063209,4111.849744585292,811.2839386423929,1192.7963406363526,1810.6645792715367,1238.5533748820974,4039.0213862561122,813.8986206054688,1199.941162109375,1821.5426025390625,1241.34228515625,4086.60595703125,24236200,9216792,4887027,14235970,1910099
2025-01-27,809.6065327196525,1185.8499521739243,1795.6100112127813,1234.1708090151494,4037.053026949849,810.839861804967,1225.1963785798748,1809.4504129219265,1235.515414368934,4090.5425994164957,802.157237088582,1183.9644761399952,1759.9163436470913,1215.1468135462453,3977.0680964596336,804.0319213867188,1218.547607421875,1769.62890625,1224.4595947265625,4000.786376953125,22804166,16164687,7652371,9536019,1551782
2025-01-28,812.5172453545283,1237.7990449684048,1777.3990640797924,1233.0752790316255,4006.3469263960387,830.9185403912116,1254.3215805212242,1809.9361507719634,1239.7984277662488,4037.052887627697,812.5172453545283,1226.535975889425,1772.4456805643415,1213.6528493538253,3964.519830412573,824.0612182617188,1237.3525390625,1777.15625,1229.4896240234375,3976.329833984375,30179312,18066499,6999495,10568025,2468272
2025-01-29,826.3304621132276,1242.4134579383835,1791.9678626583263,1231.0832160878692,3989.8125558722263,829.3644636153648,1246.1844098592185,1834.36322360914,1237.8063647194172,4042.8100387937484,823.2964606110903,1233.5320363858045,1787.5972093347696,1223.1648896668228,3989.8125558722263,827.4651489257812,1242.066162109375,1827.1759033203125,1230.585205078125,4034.88720703125,12619890,7666777,5145155,5928156,1217089
2025-01-30,829.2905374831995,1240.428743300886,1819.3088138415467,1230.635044492625,4034.985771856494,837.6278547525732,1250.203297570973,1832.9548941080284,1251.9996679975989,4064.5107788173946,825.1219089590883,1230.0091418571585,1790.9966681783667,1227.497550840604,3994.2413583605,834.4705200195312,1245.98583984375,1806.4881591796875,1248.0654296875,4035.13330078125,25744846,11921041,7336056,9269259,1531251
2025-01-31,832.3738053097981,1244.8943321590757,1817.2205970496623,1250.8541794958078,4044.9261813577104,840.9824182950722,1246.3828467053002,1842.910279604707,1261.9598488917904,4063.084253880994,830.7457868177106,1229.6122252573796,1817.2205970496623,1244.0314532484974,4020.568049243695,838.047119140625,1243.2073974609375,1825.7677001953125,1260.0673828125,4047.2880859375,15821686,10195417,5820470,6584612,1492943
2025-02-01,837.4305042201771,1241.5699459496786,1826.2533177597818,1260.0673469134033,4047.878571991142,845.0771450539991,1251.6917959101459,1836.2571867836969,1265.495739501575,4070.4158985162953,826.8485640579613,1224.3528194419691,1792.9391783431893,1236.0632421918099,3991.7810571349555,834.1991577148438,1245.936279296875,1798.1353759765625,1259.5693359375,4008.659423828125,5587528,3011914,1701402,7118453,437172
2025-02-03,823.8638327488314,1237.3028281264465,1783.2265984737837,1246.0235355947286,3967.078169136254,832.1518283284162,1250.3521626222068,1822.6110895629577,1251.003645649064,4012.4483582845437,820.6324864421063,1228.3221967826344,1779.7300994439906,1232.6270881824535,3935.38804374591,827.8104858398438,1243.40576171875,1809.741943359375,1240.94384765625,4004.23046875,20276540,6176831,4823228,9252345,1265713
2025-02-04,833.0891713164636,1253.1308244391428,1834.703198206104,1243.0852829885687,4019.042308064253,851.391824544325,1270.6952475836679,1856.2650411997822,1283.6731787459128,4053.6359186488944,828.8219005259823,1250.3522155059911,1821.1056096540206,1241.6409781641657,4001.6718584472637,848.9744873046875,1258.4893798828125,1844.2215576171875,1280.08740234375,4042.0224609375,28616502,14839077,7334787,16691069,2547132
2025-02-05,854.9437515638108,1260.4740215455731,1851.2145472314708,1277.5476050956522,4084.2927757507155,860.4690419690123,1267.966259598702,1864.5207114002724,1285.366353249074,4084.2927757507155,847.9877873258422,1255.462762111137,1839.8508957040453,1271.6212014188793,4011.4644226409437,857.311767578125,1257.9931640625,1842.5218505859375,1273.115234375,4026.325439453125,23675506,6840709,4996744,10112028,1693912
2025-02-06,856.1770794811201,1265.2372940723083,1861.898330498206,1268.6331564996678,4040.3989516054667,862.8370567631686,1269.2066659752802,1868.6971246106148,1282.8763195509282,4073.9591411356755,850.5037655001158,1253.5275985042942,1845.3869733680706,1265.2965071593937,3987.4017048416554,860.29638671875,1262.6572265625,1860.587158203125,1276.4520263671875,4018.107666015625,26760716,8396554,4765255,9956001,2284536
2025-02-07,863.3304057123341,1262.2603567708522,1864.13231412214,1271.073491533156,4025.242909445723,871.7170439392539,1265.2373859141799,1868.405747107761,1278.5933846345008,4025.242909445723,850.997114202158,1239.9823038025354,1835.14021793859,1256.979756005846,3944.5412178627034,854.8204345703125,1247.2760009765625,1848.93212890625,1261.6610107421875,3965.602294921875,23509600,7382039,4126260,8764283,1548940
2025-02-10,847.1984039096569,1247.5735745348811,1850.2432794461592,1259.469777897567,3976.0344720918165,850.2323451556149,1255.3138984101563,1850.2432794461592,1261.461821832557,3987.8444754742677,842.8570616226162,1239.7837061908433,1824.6020890265615,1240.5952102474196,3950.7906859718814,846.4337158203125,1252.9322509765625,1826.2532958984375,1248.6629638671875,3973.03271484375,17195950,5740361,3828734,6970972,1339511
2025-02-11,840.1437497009048,1246.2339539700604,1828.9727506286142,1259.5196705337273,3954.7763343520787,844.090402664855,1252.188012073483,1848.3007750893653,1259.5196705337273,3976.034436359499,833.0890834393857,1238.8410469458931,1816.249316561804,1225.2066396338644,3892.380246485599,839.3544311523438,1243.15771484375,1821.7369384765625,1229.937744140625,3900.794921875,22724704,6586627,4411601,8859714,1810908
